imdbId,year,director,writer,stars1,stars2
2991224,2013,Zaza Urushadze,Tatjana Mülbeier,Lembit Ulfsak,Elmo Nüganen
2870808,2014,Susanna Fogel,Susanna Fogel,Leighton Meester,Gillian Jacobs
2968804,2014,Brian Trenchard-Smith,Chad Law,John Cusack,Thomas Jane
2043932,2011,Steffen Haars,Steffen Haars,Huub Smit,Tim Haars
1966566,2013,Fedor Bondarchuk,Sergey Snezhkin,Mariya Smolnikova,Yanina Studilina
2832470,2014,Tommy Wirkola,Tommy Wirkola,Vegar Hoel,Ørjan Gamst
30947,1938,Grigoriy Aleksandrov,Nikolay Erdman,Igor Ilyinsky,Vladimir Volodin
2036416,2011,Giddens Ko,Giddens Ko,Kai Ko,Michelle Chen
1273207,2011,Brett Pierce,Brett Pierce,Michael McKiddy,Ross Kidder
2084970,2014,Morten Tyldum,Graham Moore,Benedict Cumberbatch,Keira Knightley
1791528,2014,Paul Thomas Anderson,Paul Thomas Anderson,Joaquin Phoenix,Josh Brolin
1798243,2014,William H. Macy,Casey Twenter,Billy Crudup,Anton Yelchin
1951265,2014,Francis Lawrence,Peter Craig,Jennifer Lawrence,Josh Hutcherson
2751310,2014,Isaac Feder,Bill Kennedy,Haley Joel Osment,Lorenza Izzo
1528100,2014,Ridley Scott,Adam Cooper,Christian Bale,Joel Edgerton
3011894,2014,Damián Szifron,Germán Servidio,Darío Grandinetti,María Marull
99878,1990,Joseph Barbera,Dennis Marks,George O'Hanlon,Penny Singleton
102940,1990,Damian Lee,David Mitchell,Dean Cameron,Tom Bresnahan
2096672,2014,Bobby Farrelly,Sean Anders,Jim Carrey,Jeff Daniels
2064968,2014,Peter Glanz,Peter Glanz,Jason Bateman,Olivia Wilde
3128900,2014,Karen Leigh Hopkins,Karen Leigh Hopkins,Katie Holmes,James Badge Dale
3534838,2014,Chris 'Casper' Kelly,Chris 'Casper' Kelly,Ken DeLozier,Tara Ochs
1055300,2008,Gordon Chan,Ho Leung Lau,Donnie Yen,Xun Zhou
2980516,2014,James Marsh,Anthony McCarten,Eddie Redmayne,Felicity Jones
2986512,6813,zGOvFnckmM,ZsBhpCtwFJ,TAgqiIcpQK,FUZXItVRBQ
3455224,2014,Orlando von Einsiedel,Orlando von Einsiedel,André Bauma,Emmanuel de Merode
484439,2005,Gary Trousdale,Michael Lachance,Tom McGrath,Chris Miller
